inputID,input,isEmpty,getSize,getAll,getFirst,getSecondLast,getLast,avg
0,"[2, 5, 5, 5, 0, 7, 4, 7, 1, 7]",False,10,"[2, 5, 5, 5, 0, 7, 4, 7, 1, 7]",2,7,7,4.3
1,"[6, 9, 9, 6, 2, 7, 7, 7, 7]",False,9,"[6, 9, 9, 6, 2, 7, 7, 7, 7]",6,7,7,6.666666666666667
2,"[1, 4, 2, 3, 5, 3, 1, 8, 2, 2, 9, 2, 9, 6, 2, 0, 0, 0, 5, 6]",False,20,"[1, 4, 2, 3, 5, 3, 1, 8, 2, 2, 9, 2, 9, 6, 2, 0, 0, 0, 5, 6]",1,6,6,3.5
3,"[1, 5]",False,2,"[1, 5]",1,5,5,3.0
4,"[8, 4, 8, 4, 3, 4, 4, 1, 7, 8, 2, 7, 5, 1, 1, 1, 1, 3]",False,18,"[8, 4, 8, 4, 3, 4, 4, 1, 7, 8, 2, 7, 5, 1, 1, 1, 1, 3]",8,3,3,4.0
5,"[1, 9, 2, 5]",False,4,"[1, 9, 2, 5]",1,5,5,4.25
6,"[5, 8, 1, 5, 9, 1, 7, 9, 6, 2, 7, 6, 5, 5, 4]",False,15,"[5, 8, 1, 5, 9, 1, 7, 9, 6, 2, 7, 6, 5, 5, 4]",5,4,4,5.333333333333333
7,"[8, 3, 6, 6, 3, 6, 5, 5, 6, 6, 6, 0, 1, 6, 3, 0, 5]",False,17,"[8, 3, 6, 6, 3, 6, 5, 5, 6, 6, 6, 0, 1, 6, 3, 0, 5]",8,5,5,4.411764705882353
8,"[1, 4, 4, 3, 3, 0, 1, 5, 2, 7, 5, 3, 9]",False,13,"[1, 4, 4, 3, 3, 0, 1, 5, 2, 7, 5, 3, 9]",1,9,9,3.6153846153846154
9,"[9, 9, 8, 0, 8, 0, 5]",False,7,"[9, 9, 8, 0, 8, 0, 5]",9,5,5,5.571428571428571
10,"[4, 5, 8, 6, 7, 0, 0, 9, 5, 9, 3, 2, 5]",False,13,"[4, 5, 8, 6, 7, 0, 0, 9, 5, 9, 3, 2, 5]",4,5,5,4.846153846153846
11,"[2, 2, 9, 8, 1, 0, 6, 2, 6, 9]",False,10,"[2, 2, 9, 8, 1, 0, 6, 2, 6, 9]",2,9,9,4.5
12,"[4, 3, 9, 8, 3, 9, 8, 0, 9, 4, 8, 1, 6]",False,13,"[4, 3, 9, 8, 3, 9, 8, 0, 9, 4, 8, 1, 6]",4,6,6,5.538461538461538
13,"[9, 2, 6, 3]",False,4,"[9, 2, 6, 3]",9,3,3,5.0
14,"[6, 3, 9, 4, 1, 7, 9, 8]",False,8,"[6, 3, 9, 4, 1, 7, 9, 8]",6,8,8,5.875
15,"[9, 3, 0, 8, 5, 5, 1, 5]",False,8,"[9, 3, 0, 8, 5, 5, 1, 5]",9,5,5,4.5
16,"[3, 8, 5, 3, 6, 7, 7, 1, 5, 8, 4, 0, 7, 6, 5, 2, 3, 2, 7, 8]",False,20,"[3, 8, 5, 3, 6, 7, 7, 1, 5, 8, 4, 0, 7, 6, 5, 2, 3, 2, 7, 8]",3,8,8,4.85
17,"[5, 4, 1, 3, 9, 5, 9, 0, 6, 9, 9, 6, 5]",False,13,"[5, 4, 1, 3, 9, 5, 9, 0, 6, 9, 9, 6, 5]",5,5,5,5.461538461538462
18,"[9, 6, 4, 1, 1, 8, 8, 5, 2, 4, 3, 1, 0]",False,13,"[9, 6, 4, 1, 1, 8, 8, 5, 2, 4, 3, 1, 0]",9,0,0,4.0
19,"[5, 3, 9, 0, 8, 2, 6, 7, 9, 0, 5, 1, 6, 5]",False,14,"[5, 3, 9, 0, 8, 2, 6, 7, 9, 0, 5, 1, 6, 5]",5,5,5,4.714285714285714
20,"[4, 5, 1, 4, 2]",False,5,"[4, 5, 1, 4, 2]",4,2,2,3.2
21,"[8, 4, 7, 9, 9]",False,5,"[8, 4, 7, 9, 9]",8,9,9,7.4
